"Index Name","Date","Open","High","Low","Close"
"NIFTY 200","28 Sep 2020","5784.70","5845.50","5767.10","5840.40"
"NIFTY 200","25 Sep 2020","5656.10","5745.05","5625.45","5734.95"
"NIFTY 200","24 Sep 2020","5701.70","5703.15","5593.35","5601.10"
"NIFTY 200","23 Sep 2020","5826.60","5831.20","5707.10","5762.70"
"NIFTY 200","22 Sep 2020","5851.65","5851.90","5723.20","5775.30"
"NIFTY 200","21 Sep 2020","5982.40","5993.15","5813.55","5832.10"
"NIFTY 200","18 Sep 2020","6018.30","6021.10","5952.60","5981.20"
"NIFTY 200","17 Sep 2020","5994.35","6020.00","5975.50","5984.35"
"NIFTY 200","16 Sep 2020","5998.20","6031.00","5988.10","6025.40"
"NIFTY 200","15 Sep 2020","5965.30","5993.15","5950.10","5986.70"
"NIFTY 200","14 Sep 2020","5975.95","5998.35","5912.25","5940.05"
"NIFTY 200","11 Sep 2020","5917.45","5941.50","5906.50","5933.45"
"NIFTY 200","10 Sep 2020","5876.75","5923.60","5865.30","5916.75"
"NIFTY 200","09 Sep 2020","5804.35","5844.25","5780.40","5833.80"
"NIFTY 200","08 Sep 2020","5896.05","5918.45","5839.70","5854.15"
"NIFTY 200","07 Sep 2020","5898.45","5908.55","5837.80","5883.30"
"NIFTY 200","04 Sep 2020","5893.75","5946.95","5868.15","5882.90"
"NIFTY 200","03 Sep 2020","5996.10","6006.55","5972.55","5984.50"
"NIFTY 200","02 Sep 2020","5942.00","5988.45","5920.65","5977.60"
"NIFTY 200","01 Sep 2020","5922.90","5961.95","5878.35","5934.10"
"NIFTY 200","31 Aug 2020","6110.30","6117.85","5858.45","5887.55"
"NIFTY 200","28 Aug 2020","6033.35","6069.70","6027.40","6048.90"
"NIFTY 200","27 Aug 2020","6032.05","6036.00","5999.50","6007.65"
"NIFTY 200","26 Aug 2020","5988.05","6005.50","5961.95","6000.00"
"NIFTY 200","25 Aug 2020","5987.30","5994.70","5939.55","5965.20"
"NIFTY 200","24 Aug 2020","5941.75","5975.45","5941.00","5959.95"
"NIFTY 200","21 Aug 2020","5940.25","5945.95","5912.30","5917.35"
"NIFTY 200","20 Aug 2020","5878.85","5909.00","5864.55","5888.25"
"NIFTY 200","19 Aug 2020","5941.55","5947.55","5915.15","5921.80"
"NIFTY 200","18 Aug 2020","5845.80","5914.65","5842.85","5907.50"
"NIFTY 200","17 Aug 2020","5842.45","5845.85","5782.85","5836.15"
"NIFTY 200","14 Aug 2020","5890.95","5900.30","5767.95","5803.60"
"NIFTY 200","13 Aug 2020","5871.20","5885.15","5846.45","5864.40"
"NIFTY 200","12 Aug 2020","5844.85","5860.65","5819.25","5854.05"
"NIFTY 200","11 Aug 2020","5872.20","5894.00","5854.15","5859.50"
"NIFTY 200","10 Aug 2020","5838.70","5871.85","5827.40","5844.25"
"NIFTY 200","07 Aug 2020","5786.80","5811.70","5767.65","5803.45"
"NIFTY 200","06 Aug 2020","5777.10","5811.80","5753.40","5788.45"
"NIFTY 200","05 Aug 2020","5764.50","5795.95","5719.70","5737.20"
"NIFTY 200","04 Aug 2020","5669.45","5739.00","5649.75","5731.90"
"NIFTY 200","03 Aug 2020","5710.05","5710.20","5635.00","5639.55"
"NIFTY 200","31 Jul 2020","5735.70","5745.60","5691.95","5715.65"
"NIFTY 200","30 Jul 2020","5784.20","5802.95","5705.20","5716.85"
"NIFTY 200","29 Jul 2020","5784.05","5813.00","5732.35","5758.15"
"NIFTY 200","28 Jul 2020","5726.00","5798.05","5724.95","5790.55"
"NIFTY 200","27 Jul 2020","5767.80","5767.80","5694.70","5713.70"
"NIFTY 200","24 Jul 2020","5738.90","5766.30","5703.25","5751.95"
"NIFTY 200","23 Jul 2020","5730.35","5780.60","5716.05","5770.25"
"NIFTY 200","22 Jul 2020","5771.55","5774.20","5687.60","5725.85"
"NIFTY 200","21 Jul 2020","5735.15","5751.65","5725.35","5740.70"
"NIFTY 200","20 Jul 2020","5671.30","5690.35","5651.85","5683.45"
"NIFTY 200","17 Jul 2020","5551.85","5639.95","5550.75","5626.00"
"NIFTY 200","16 Jul 2020","5529.20","5549.00","5466.35","5542.30"
"NIFTY 200","15 Jul 2020","5537.70","5591.30","5469.85","5488.85"
"NIFTY 200","14 Jul 2020","5559.70","5561.90","5469.15","5492.30"
"NIFTY 200","13 Jul 2020","5610.45","5626.25","5558.40","5583.10"
"NIFTY 200","10 Jul 2020","5570.85","5600.70","5542.65","5569.00"
"NIFTY 200","09 Jul 2020","5573.10","5603.50","5562.85","5592.80"
"NIFTY 200","08 Jul 2020","5603.00","5617.55","5534.50","5548.75"
"NIFTY 200","07 Jul 2020","5589.65","5598.20","5533.90","5590.75"
"NIFTY 200","06 Jul 2020","5550.20","5589.55","5536.55","5570.45"
"NIFTY 200","03 Jul 2020","5497.40","5505.75","5472.40","5495.45"
"NIFTY 200","02 Jul 2020","5434.70","5484.00","5431.45","5464.20"
"NIFTY 200","01 Jul 2020","5362.95","5412.80","5346.25","5404.30"
"NIFTY 200","30 Jun 2020","5393.05","5403.60","5333.70","5350.40"
"NIFTY 200","29 Jun 2020","5369.25","5375.35","5316.80","5356.15"
"NIFTY 200","26 Jun 2020","5406.35","5421.70","5369.55","5399.25"
"NIFTY 200","25 Jun 2020","5325.90","5392.50","5305.90","5359.45"
"NIFTY 200","24 Jun 2020","5476.05","5491.80","5347.45","5360.50"
"NIFTY 200","23 Jun 2020","5380.30","5448.50","5357.15","5442.05"
"NIFTY 200","22 Jun 2020","5350.25","5393.60","5334.95","5357.45"
"NIFTY 200","19 Jun 2020","5252.10","5321.65","5230.50","5309.00"
"NIFTY 200","18 Jun 2020","5133.85","5244.45","5125.00","5235.45"
"NIFTY 200","17 Jun 2020","5136.30","5198.80","5117.00","5142.55"
"NIFTY 200","16 Jun 2020","5208.05","5222.60","5064.20","5154.50"
"NIFTY 200","15 Jun 2020","5166.55","5181.65","5072.75","5110.35"
"NIFTY 200","12 Jun 2020","4957.45","5197.55","4957.00","5186.50"
"NIFTY 200","11 Jun 2020","5239.25","5254.20","5136.80","5144.75"
"NIFTY 200","10 Jun 2020","5226.00","5262.05","5204.05","5247.45"
"NIFTY 200","09 Jun 2020","5281.80","5332.85","5197.65","5213.20"
"NIFTY 200","08 Jun 2020","5346.85","5347.30","5244.05","5267.90"
"NIFTY 200","05 Jun 2020","5223.35","5270.05","5197.40","5255.15"
"NIFTY 200","04 Jun 2020","5200.10","5238.20","5143.25","5188.10"
"NIFTY 200","03 Jun 2020","5224.45","5258.35","5185.20","5198.70"
"NIFTY 200","02 Jun 2020","5115.75","5166.60","5090.75","5159.90"
"NIFTY 200","01 Jun 2020","5034.60","5131.80","5026.45","5087.35"
"NIFTY 200","29 May 2020","4875.80","4971.20","4855.85","4963.40"
"NIFTY 200","28 May 2020","4842.75","4917.00","4830.05","4907.15"
"NIFTY 200","27 May 2020","4724.80","4826.40","4680.95","4818.15"
"NIFTY 200","26 May 2020","4726.85","4753.60","4682.30","4700.35"
"NIFTY 200","22 May 2020","4716.10","4756.75","4666.60","4697.15"
"NIFTY 200","21 May 2020","4717.60","4768.70","4707.05","4734.10"
"NIFTY 200","20 May 2020","4618.70","4720.90","4611.05","4707.15"
"NIFTY 200","19 May 2020","4654.40","4687.85","4601.25","4613.55"
"NIFTY 200","18 May 2020","4763.15","4763.20","4578.20","4585.70"
"NIFTY 200","15 May 2020","4779.75","4779.75","4714.20","4752.45"
"NIFTY 200","14 May 2020","4787.35","4824.20","4746.85","4759.15"
"NIFTY 200","13 May 2020","4958.90","4958.95","4839.35","4861.05"
"NIFTY 200","12 May 2020","4756.25","4788.95","4690.15","4767.45"
"NIFTY 200","11 May 2020","4833.35","4877.75","4779.70","4789.00"
"NIFTY 200","08 May 2020","4844.40","4847.45","4778.40","4784.70"
"NIFTY 200","07 May 2020","4781.45","4806.45","4752.90","4760.30"
"NIFTY 200","06 May 2020","4774.70","4827.60","4715.75","4798.10"
"NIFTY 200","05 May 2020","4880.05","4893.60","4756.15","4763.15"
"NIFTY 200","04 May 2020","4922.45","4922.80","4797.75","4810.05"
"NIFTY 200","30 Apr 2020","5036.45","5099.30","5026.35","5085.10"
"NIFTY 200","29 Apr 2020","4874.90","4960.25","4868.00","4939.45"
"NIFTY 200","28 Apr 2020","4867.75","4873.25","4799.55","4857.45"
"NIFTY 200","27 Apr 2020","4795.70","4850.70","4791.75","4813.15"
"NIFTY 200","24 Apr 2020","4755.50","4812.65","4736.80","4742.40"
"NIFTY 200","23 Apr 2020","4793.80","4845.80","4769.45","4827.10"
"NIFTY 200","22 Apr 2020","4693.05","4775.80","4648.30","4768.70"
"NIFTY 200","21 Apr 2020","4694.85","4706.35","4642.10","4675.35"
"NIFTY 200","20 Apr 2020","4875.95","4876.15","4802.95","4812.75"
"NIFTY 200","17 Apr 2020","4850.10","4850.30","4732.05","4815.15"
"NIFTY 200","16 Apr 2020","4613.10","4715.30","4593.70","4687.15"
"NIFTY 200","15 Apr 2020","4755.65","4803.65","4617.40","4647.00"
"NIFTY 200","13 Apr 2020","4718.60","4721.50","4614.05","4663.45"
"NIFTY 200","09 Apr 2020","4648.95","4727.05","4622.50","4718.25"
"NIFTY 200","08 Apr 2020","4492.00","4719.10","4472.65","4537.55"
"NIFTY 200","07 Apr 2020","4373.05","4546.20","4328.10","4535.35"
"NIFTY 200","03 Apr 2020","4320.65","4320.65","4182.25","4195.00"
"NIFTY 200","01 Apr 2020","4430.15","4431.75","4248.25","4275.70"
"NIFTY 200","31 Mar 2020","4397.50","4466.65","4311.30","4433.85"
"NIFTY 200","30 Mar 2020","4314.70","4408.45","4257.30","4275.30"
"NIFTY 200","27 Mar 2020","4590.70","4642.70","4376.85","4443.40"
"NIFTY 200","26 Mar 2020","4334.65","4493.10","4264.80","4439.50"
"NIFTY 200","25 Mar 2020","3990.35","4293.45","3984.60","4268.85"
"NIFTY 200","24 Mar 2020","4058.20","4149.30","3893.05","4030.70"
"NIFTY 200","23 Mar 2020","4121.70","4230.85","3932.70","3944.80"
"NIFTY 200","20 Mar 2020","4307.95","4595.00","4251.10","4526.00"
"NIFTY 200","19 Mar 2020","4200.85","4447.25","4080.15","4291.65"
"NIFTY 200","18 Mar 2020","4729.55","4748.25","4384.65","4412.15"
"NIFTY 200","17 Mar 2020","4814.55","4882.65","4645.00","4668.15"
"NIFTY 200","16 Mar 2020","4959.45","4984.05","4760.75","4777.95"
"NIFTY 200","13 Mar 2020","4684.75","5239.50","4432.40","5147.65"
"NIFTY 200","12 Mar 2020","5206.65","5206.95","4932.25","4971.05"
"NIFTY 200","11 Mar 2020","5379.45","5477.10","5378.35","5422.55"
"NIFTY 200","09 Mar 2020","5578.30","5582.55","5359.10","5430.25"
"NIFTY 200","06 Mar 2020","5668.80","5723.95","5615.70","5703.60"
"NIFTY 200","05 Mar 2020","5863.10","5901.80","5828.55","5845.75"
"NIFTY 200","04 Mar 2020","5894.15","5897.30","5747.85","5833.40"
"NIFTY 200","03 Mar 2020","5820.15","5886.75","5789.95","5869.85"
"NIFTY 200","02 Mar 2020","5901.95","5934.95","5727.00","5775.20"
"NIFTY 200","28 Feb 2020","5898.55","5899.90","5794.85","5809.15"
"NIFTY 200","27 Feb 2020","6046.25","6046.90","5976.80","6028.05"
"NIFTY 200","26 Feb 2020","6089.20","6111.10","6036.05","6053.30"
"NIFTY 200","25 Feb 2020","6163.70","6172.80","6110.10","6118.55"
"NIFTY 200","24 Feb 2020","6232.65","6232.65","6130.60","6139.10"
"NIFTY 200","20 Feb 2020","6278.90","6307.30","6263.60","6268.45"
"NIFTY 200","19 Feb 2020","6252.00","6284.10","6231.95","6280.65"
"NIFTY 200","18 Feb 2020","6220.80","6221.35","6155.90","6202.30"
"NIFTY 200","17 Feb 2020","6281.15","6291.40","6226.15","6230.40"
"NIFTY 200","14 Feb 2020","6317.85","6344.65","6262.25","6272.10"
"NIFTY 200","13 Feb 2020","6331.25","6333.65","6291.80","6310.25"
"NIFTY 200","12 Feb 2020","6308.85","6342.40","6305.80","6323.80"
"NIFTY 200","11 Feb 2020","6296.90","6324.55","6283.65","6288.10"
"NIFTY 200","10 Feb 2020","6298.95","6299.00","6241.00","6259.75"
"NIFTY 200","07 Feb 2020","6309.65","6311.20","6280.60","6295.75"
"NIFTY 200","06 Feb 2020","6286.20","6313.85","6267.95","6302.20"
"NIFTY 200","05 Feb 2020","6222.35","6272.40","6199.95","6269.00"
"NIFTY 200","04 Feb 2020","6113.65","6210.00","6113.10","6205.85"
"NIFTY 200","03 Feb 2020","6027.60","6094.20","6017.00","6074.65"
"NIFTY 200","01 Feb 2020","6196.75","6243.00","6028.50","6043.95"
"NIFTY 200","31 Jan 2020","6279.70","6281.40","6200.25","6207.85"
"NIFTY 200","30 Jan 2020","6314.20","6315.40","6237.35","6248.25"
"NIFTY 200","29 Jan 2020","6301.10","6322.25","6292.35","6304.70"
"NIFTY 200","28 Jan 2020","6313.10","6323.90","6255.15","6269.50"
"NIFTY 200","27 Jan 2020","6333.30","6351.15","6292.00","6298.90"
"NIFTY 200","24 Jan 2020","6316.10","6370.05","6303.05","6358.10"
"NIFTY 200","23 Jan 2020","6279.15","6322.35","6267.15","6317.85"
"NIFTY 200","22 Jan 2020","6322.35","6324.95","6261.45","6270.40"
"NIFTY 200","21 Jan 2020","6307.55","6327.60","6292.35","6296.90"
"NIFTY 200","20 Jan 2020","6421.10","6421.10","6318.85","6323.20"
"NIFTY 200","17 Jan 2020","6370.60","6398.80","6366.55","6385.45"
"NIFTY 200","16 Jan 2020","6377.20","6396.70","6360.25","6381.75"
"NIFTY 200","15 Jan 2020","6363.30","6376.35","6336.00","6370.60"
"NIFTY 200","14 Jan 2020","6352.55","6373.20","6340.15","6367.80"
"NIFTY 200","13 Jan 2020","6329.65","6351.15","6325.20","6348.35"
"NIFTY 200","10 Jan 2020","6313.10","6336.30","6287.30","6307.90"
"NIFTY 200","09 Jan 2020","6256.30","6291.65","6248.05","6287.10"
"NIFTY 200","08 Jan 2020","6139.60","6196.10","6134.80","6191.75"
"NIFTY 200","07 Jan 2020","6209.20","6251.60","6174.70","6200.40"
"NIFTY 200","06 Jan 2020","6260.55","6264.25","6156.95","6166.55"
"NIFTY 200","03 Jan 2020","6307.65","6312.65","6271.70","6290.05"
"NIFTY 200","02 Jan 2020","6270.10","6320.75","6268.65","6317.55"
"NIFTY 200","01 Jan 2020","6271.15","6281.45","6253.85","6261.70"
