"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","20 Mar 2026","15829.7","15929.1","15694.9","15718.60"
"NIFTY SMALLCAP 100","19 Mar 2026","15933.15","15959.4","15656.9","15704.25"
"NIFTY SMALLCAP 100","18 Mar 2026","15976.1","16230.7","15946.3","16179.15"
"NIFTY SMALLCAP 100","17 Mar 2026","15888.25","15957.6","15765.7","15912.90"
"NIFTY SMALLCAP 100","16 Mar 2026","15858.25","15892.2","15526.75","15810.35"
"NIFTY SMALLCAP 100","13 Mar 2026","16246.9","16253.55","15832.9","15895.25"
"NIFTY SMALLCAP 100","12 Mar 2026","16337.15","16423.05","16097.45","16305.25"
"NIFTY SMALLCAP 100","11 Mar 2026","16521.85","16652.85","16384.25","16414.85"
"NIFTY SMALLCAP 100","10 Mar 2026","16339.4","16512.75","16268.95","16473.80"
"NIFTY SMALLCAP 100","09 Mar 2026","16199.35","16199.35","15896.95","16132.20"
"NIFTY SMALLCAP 100","06 Mar 2026","16524.35","16658.45","16481.65","16498.90"
"NIFTY SMALLCAP 100","05 Mar 2026","16397.1","16567.7","16311.55","16538.80"
"NIFTY SMALLCAP 100","04 Mar 2026","16412.35","16413.4","16156.35","16281.50"
"NIFTY SMALLCAP 100","02 Mar 2026","16289.6","16839.2","16284.7","16632.40"
"NIFTY SMALLCAP 100","27 Feb 2026","17109.75","17112","16904.5","16928.90"
"NIFTY SMALLCAP 100","26 Feb 2026","17143.6","17206","17036.3","17117.65"
"NIFTY SMALLCAP 100","25 Feb 2026","17032.75","17146.9","17015.9","17118.70"
"NIFTY SMALLCAP 100","24 Feb 2026","17005.75","17024.6","16842","16958.65"
"NIFTY SMALLCAP 100","23 Feb 2026","17119.55","17202.3","16984.9","17051.95"
"NIFTY SMALLCAP 100","20 Feb 2026","16995.55","17087.6","16937.5","17002.15"
"NIFTY SMALLCAP 100","19 Feb 2026","17294.6","17308.35","16970.95","17020.35"
"NIFTY SMALLCAP 100","18 Feb 2026","17184.1","17257.6","17133.5","17239.25"
"NIFTY SMALLCAP 100","17 Feb 2026","17050.95","17166.2","17011.45","17146.70"
"NIFTY SMALLCAP 100","16 Feb 2026","16927","17062.75","16822.25","17050.90"
"NIFTY SMALLCAP 100","13 Feb 2026","17193.65","17196.35","16951.9","17032.90"
"NIFTY SMALLCAP 100","12 Feb 2026","17433.15","17435","17275.2","17344.10"
"NIFTY SMALLCAP 100","11 Feb 2026","17482.3","17483.25","17362.1","17455.00"
"NIFTY SMALLCAP 100","10 Feb 2026","17447.3","17508.85","17397.2","17451.20"
"NIFTY SMALLCAP 100","09 Feb 2026","17082.55","17404.15","17045.6","17385.90"
"NIFTY SMALLCAP 100","06 Feb 2026","16914.4","16956.95","16705.35","16938.65"
"NIFTY SMALLCAP 100","05 Feb 2026","17151.35","17151.4","16896.8","16983.90"
"NIFTY SMALLCAP 100","04 Feb 2026","16993.25","17234.7","16918.25","17205.10"
"NIFTY SMALLCAP 100","03 Feb 2026","17295.6","17366.1","16938.75","16988.95"
"NIFTY SMALLCAP 100","02 Feb 2026","16381.95","16583.7","16136.9","16523.35"
"NIFTY SMALLCAP 100","01 Feb 2026","16767.7","16780.5","16155.35","16418.15"
"NIFTY SMALLCAP 100","30 Jan 2026","16739.6","16946.85","16565.65","16879.10"
"NIFTY SMALLCAP 100","29 Jan 2026","16880.05","16888.75","16692.9","16825.00"
"NIFTY SMALLCAP 100","28 Jan 2026","16511.3","16817.15","16489.25","16790.95"
"NIFTY SMALLCAP 100","27 Jan 2026","16445.3","16493.45","16186.75","16419.35"
"NIFTY SMALLCAP 100","23 Jan 2026","16765.4","16770.85","16326.35","16352.75"
"NIFTY SMALLCAP 100","22 Jan 2026","16717.9","16807.7","16534.9","16677.25"
"NIFTY SMALLCAP 100","21 Jan 2026","16648.85","16736.9","16362.9","16551.20"
"NIFTY SMALLCAP 100","20 Jan 2026","17185.8","17186.2","16660.55","16701.05"
"NIFTY SMALLCAP 100","19 Jan 2026","17339.35","17366.9","17165.75","17190.70"
"NIFTY SMALLCAP 100","16 Jan 2026","17427.7","17495","17340","17362.30"
"NIFTY SMALLCAP 100","14 Jan 2026","17281.85","17453.9","17259.5","17410.85"
"NIFTY SMALLCAP 100","13 Jan 2026","17264.25","17359.25","17163.95","17295.80"
"NIFTY SMALLCAP 100","12 Jan 2026","17287.1","17294.65","16946.95","17193.30"
"NIFTY SMALLCAP 100","09 Jan 2026","17572.5","17637.9","17252.95","17282.65"
"NIFTY SMALLCAP 100","08 Jan 2026","17972.7","17997.25","17560.75","17601.05"
"NIFTY SMALLCAP 100","07 Jan 2026","17891.95","17993.7","17840.3","17958.50"
"NIFTY SMALLCAP 100","06 Jan 2026","18000.65","18000.65","17812.05","17887.85"
"NIFTY SMALLCAP 100","05 Jan 2026","17882.65","17984.9","17836.3","17926.40"
"NIFTY SMALLCAP 100","02 Jan 2026","17744.5","17845.25","17699.1","17832.05"
"NIFTY SMALLCAP 100","01 Jan 2026","17745.8","17749.9","17606.6","17704.90"
