"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 50","20 Apr 2026","17055.15","17117","16893.15","16981.80"
"NIFTY MIDCAP 50","17 Apr 2026","16840.15","17035.3","16769.35","17014.60"
"NIFTY MIDCAP 50","16 Apr 2026","16832.8","16887.35","16659.55","16804.80"
"NIFTY MIDCAP 50","15 Apr 2026","16598.4","16724.35","16563.5","16699.40"
"NIFTY MIDCAP 50","13 Apr 2026","16128.65","16393.15","16020.9","16326.30"
"NIFTY MIDCAP 50","10 Apr 2026","16333.5","16465.5","16263.8","16452.40"
"NIFTY MIDCAP 50","09 Apr 2026","16216.35","16336.6","16056.6","16246.35"
"NIFTY MIDCAP 50","08 Apr 2026","16099.15","16237.3","16023.3","16210.35"
"NIFTY MIDCAP 50","07 Apr 2026","15424.85","15595.35","15252.45","15573.80"
"NIFTY MIDCAP 50","06 Apr 2026","15294.8","15525.1","15096.65","15507.20"
"NIFTY MIDCAP 50","02 Apr 2026","15113.25","15305.2","14804.55","15270.50"
"NIFTY MIDCAP 50","01 Apr 2026","15374.05","15500","15235.35","15295.45"
"NIFTY MIDCAP 50","30 Mar 2026","15194.1","15228.9","14954.9","14983.35"
"NIFTY MIDCAP 50","27 Mar 2026","15628.9","15638.9","15367.45","15396.10"
"NIFTY MIDCAP 50","25 Mar 2026","15556.55","15827.6","15543.45","15731.45"
"NIFTY MIDCAP 50","24 Mar 2026","15322.85","15477.35","15079.55","15411.75"
"NIFTY MIDCAP 50","23 Mar 2026","15405.45","15405.45","14956.15","15000.50"
"NIFTY MIDCAP 50","20 Mar 2026","15572.4","15759.05","15549.15","15572.60"
"NIFTY MIDCAP 50","19 Mar 2026","15709.35","15730.75","15385.7","15458.00"
"NIFTY MIDCAP 50","18 Mar 2026","15686.95","16042.3","15685.55","15983.45"
"NIFTY MIDCAP 50","17 Mar 2026","15570.75","15692.3","15444.75","15656.75"
"NIFTY MIDCAP 50","16 Mar 2026","15487.2","15610.9","15259.8","15497.00"
"NIFTY MIDCAP 50","13 Mar 2026","15837.3","15870.45","15472.45","15523.70"
"NIFTY MIDCAP 50","12 Mar 2026","15896.4","16047.3","15684.4","15922.20"
"NIFTY MIDCAP 50","11 Mar 2026","16297.05","16359.05","15961.15","15991.65"
"NIFTY MIDCAP 50","10 Mar 2026","16217.6","16308.6","16096.85","16262.25"
"NIFTY MIDCAP 50","09 Mar 2026","15991.25","16038.2","15732.65","16005.45"
"NIFTY MIDCAP 50","06 Mar 2026","16413.3","16529.05","16283.55","16300.85"
"NIFTY MIDCAP 50","05 Mar 2026","16332.35","16490.25","16234.85","16441.55"
"NIFTY MIDCAP 50","04 Mar 2026","16290.9","16310.15","16084.5","16198.95"
"NIFTY MIDCAP 50","02 Mar 2026","16201.9","16705.65","16197.8","16520.35"
"NIFTY MIDCAP 50","27 Feb 2026","16944","16963.2","16737.2","16765.60"
"NIFTY MIDCAP 50","26 Feb 2026","16865.45","16965.4","16839.1","16945.05"
"NIFTY MIDCAP 50","25 Feb 2026","16787.95","16871.35","16717.45","16828.70"
"NIFTY MIDCAP 50","24 Feb 2026","16720.8","16758","16548.95","16718.75"
"NIFTY MIDCAP 50","23 Feb 2026","16912.65","16925","16710.05","16772.40"
"NIFTY MIDCAP 50","20 Feb 2026","16811.35","16964.5","16783.85","16912.35"
"NIFTY MIDCAP 50","19 Feb 2026","17146.95","17159.45","16796.1","16844.25"
"NIFTY MIDCAP 50","18 Feb 2026","17081.1","17133.4","17026","17123.45"
"NIFTY MIDCAP 50","17 Feb 2026","17021.95","17078.2","16969.6","17048.95"
"NIFTY MIDCAP 50","16 Feb 2026","16867.9","17040.85","16793.25","17025.70"
"NIFTY MIDCAP 50","13 Feb 2026","17095.9","17104.35","16880.45","16960.45"
"NIFTY MIDCAP 50","12 Feb 2026","17323.3","17325.45","17184.7","17251.50"
"NIFTY MIDCAP 50","11 Feb 2026","17325.2","17349.55","17250.35","17330.05"
"NIFTY MIDCAP 50","10 Feb 2026","17344.1","17346.45","17249.9","17303.95"
"NIFTY MIDCAP 50","09 Feb 2026","17128.65","17266.2","17084.05","17249.15"
"NIFTY MIDCAP 50","06 Feb 2026","17029.1","17043.5","16838.05","17023.30"
"NIFTY MIDCAP 50","05 Feb 2026","17120.05","17120.5","16946.05","17084.95"
"NIFTY MIDCAP 50","04 Feb 2026","16988.1","17149.15","16848","17123.40"
"NIFTY MIDCAP 50","03 Feb 2026","17221.15","17368.85","16944.2","17013.20"
"NIFTY MIDCAP 50","02 Feb 2026","16357.35","16585.85","16185.05","16549.30"
"NIFTY MIDCAP 50","01 Feb 2026","16709.6","16757.35","16038.55","16349.40"
"NIFTY MIDCAP 50","30 Jan 2026","16642.95","16751.5","16542.8","16693.25"
"NIFTY MIDCAP 50","29 Jan 2026","16731.1","16749.75","16578.2","16736.25"
"NIFTY MIDCAP 50","28 Jan 2026","16495.85","16722.85","16481.55","16703.05"
"NIFTY MIDCAP 50","27 Jan 2026","16401.35","16480.65","16208.7","16431.35"
"NIFTY MIDCAP 50","23 Jan 2026","16740.9","16742.4","16320.5","16348.15"
"NIFTY MIDCAP 50","22 Jan 2026","16596.4","16788.45","16540.9","16672.00"
"NIFTY MIDCAP 50","21 Jan 2026","16579.9","16679.75","16228.75","16453.55"
"NIFTY MIDCAP 50","20 Jan 2026","17097.25","17097.3","16582.6","16635.80"
"NIFTY MIDCAP 50","19 Jan 2026","17118.35","17163","17032.45","17103.00"
"NIFTY MIDCAP 50","16 Jan 2026","17078.65","17259.15","17078.65","17146.20"
"NIFTY MIDCAP 50","14 Jan 2026","17001.85","17108.8","16959.5","17054.25"
"NIFTY MIDCAP 50","13 Jan 2026","17147.85","17193.1","16886.85","17034.00"
"NIFTY MIDCAP 50","12 Jan 2026","17100.55","17134.95","16842","17085.40"
"NIFTY MIDCAP 50","09 Jan 2026","17209.6","17311","17031.8","17096.50"
"NIFTY MIDCAP 50","08 Jan 2026","17530.65","17536.15","17199.3","17215.45"
"NIFTY MIDCAP 50","07 Jan 2026","17480.25","17572.45","17443.55","17534.35"
"NIFTY MIDCAP 50","06 Jan 2026","17499.5","17519.35","17392.95","17471.35"
"NIFTY MIDCAP 50","05 Jan 2026","17554.7","17555.95","17395.05","17482.30"
"NIFTY MIDCAP 50","02 Jan 2026","17390.15","17514","17350.8","17505.70"
"NIFTY MIDCAP 50","01 Jan 2026","17288.9","17355","17195.8","17342.70"
